id,name,mime_type,parent_id,size,created_time,modified_time,owner_email,starred,trashed,web_view_link
fld_rodriguez_001,Rodriguez_Quinceanera_2026,application/vnd.google-apps.folder,,0,2026-09-15T10:00:00,2026-10-12T14:30:00,chris@eventco.com,false,false,https://drive.google.com/drive/folders/fld_rodriguez_001
file_inv_current,Inventory_v2.1_Current.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,fld_rodriguez_001,45120,2026-09-20T09:00:00,2026-10-12T11:22:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_inv_current
file_decor_current,Decor_Plan_Modern_Elegance.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,fld_rodriguez_001,78345,2026-09-18T14:00:00,2026-10-11T16:45:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_decor_current
file_budget_current,Budget_Tracker_Event_Supplies.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,fld_rodriguez_001,32100,2026-09-22T10:30:00,2026-10-10T13:15:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_budget_current
file_photo_storage,garage_storage_photo.jpg,image/jpeg,fld_rodriguez_001,2850000,2026-10-11T15:20:00,2026-10-11T15:20:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_photo_storage
file_quote_scan,vendor_quote_premium_event_linens.pdf,application/pdf,fld_rodriguez_001,1250000,2026-10-10T09:00:00,2026-10-10T09:00:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_quote_scan
file_audio_memo,helper_availability_memo.m4a,audio/x-m4a,fld_rodriguez_001,850000,2026-10-09T14:30:00,2026-10-09T14:30:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_audio_memo
file_notes_setup,setup_notes_day_of.txt,text/plain,fld_rodriguez_001,2340,2026-10-06T16:00:00,2026-10-06T16:00:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_notes_setup
file_inv_old_v2,Inventory_v2.0_Working.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,fld_rodriguez_001,44500,2026-09-10T08:00:00,2026-09-28T09:15:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_inv_old_v2
file_inv_old_v1,Inventory_v1.0_Draft.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,fld_rodriguez_001,41200,2026-08-25T11:00:00,2026-09-02T10:30:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_inv_old_v1
file_decor_old,Decor_Plan_Draft_Aug.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,fld_rodriguez_001,62450,2026-08-20T13:00:00,2026-08-27T15:00:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_decor_old
file_budget_old,Budget_Prior_Event.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,fld_rodriguez_001,29800,2026-09-01T09:00:00,2026-09-25T11:20:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_budget_old
fld_fuentes_draft,Fuentes_Event_Prep_Folder,application/vnd.google-apps.folder,,0,2026-09-10T10:00:00,2026-10-08T14:00:00,chris@eventco.com,false,false,https://drive.google.com/drive/folders/fld_fuentes_draft
file_fuentes_budget,Budget_Tracking_Fuentes.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,fld_fuentes_draft,28900,2026-09-12T15:00:00,2026-10-02T10:30:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_fuentes_budget
fld_household,Household_Documents,application/vnd.google-apps.folder,,0,2026-06-01T08:00:00,2026-10-05T09:00:00,chris@eventco.com,false,false,https://drive.google.com/drive/folders/fld_household
file_grocery_budget,Household_Grocery_Budget_2026.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,fld_household,15600,2026-01-05T10:00:00,2026-09-30T16:45:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_grocery_budget
file_school_calendar,School_Calendar_2026.pdf,application/pdf,fld_household,890000,2026-08-01T12:00:00,2026-08-15T14:30:00,chris@eventco.com,false,false,https://drive.google.com/file/d/file_school_calendar
fld_church,Church_Documents,application/vnd.google-apps.folder,,0,2026-03-15T09:00:00,2026-10-04T11:00:00,chris@eventco.com,false,false,https://drive.google.com/drive/folders/fld_church
